epsilon,status,objective,pg_bus_12,pg_bus_19,pg_bus_46,pg_bus_107,pg_bus_100,pg_bus_113,pg_bus_72,pg_bus_55,pg_bus_32,pg_bus_89,pg_bus_65,pg_bus_91,pg_bus_4,pg_bus_18,pg_bus_80,pg_bus_26,pg_bus_66,pg_bus_85,pg_bus_8,pg_bus_24,pg_bus_70,pg_bus_111,pg_bus_76,pg_bus_112,pg_bus_87,pg_bus_61,pg_bus_40,pg_bus_36,pg_bus_25,pg_bus_59,pg_bus_15,pg_bus_6,pg_bus_1,pg_bus_116,pg_bus_42,pg_bus_34,pg_bus_54,pg_bus_74,pg_bus_49,pg_bus_62,pg_bus_27,pg_bus_77,pg_bus_103,pg_bus_10,pg_bus_105,pg_bus_110,pg_bus_104,pg_bus_90,pg_bus_69,pg_bus_73,pg_bus_99,pg_bus_56,pg_bus_31,pg_bus_92
1.7,feasible,140845.98784725886,1.6999999999900224,0.5970895963524896,1.6999999999906859,0.5970895963458401,0.9007526143401963,1.608710623688044,0.5970895963379083,0.5970895963368895,0.5970895963513541,0.5970895963387479,1.6999999999868725,1.6999999999891122,0.5970895963490693,0.5970895963426944,0.5970895963423107,1.6999999999762905,0.5970895963507479,0.042388358391743035,0.5970895963380694,1.0165633179848157,0.5970895963535151,0.5970895963387479,0.5970895963376954,0.5970895963402505,0.5970895963445071,1.6955096994245695,0.5970895963477996,0.5970895963425422,0.5970895963421835,0.20134470251802825,0.5970895963471035,0.597089596339036,0.5970895963430243,0.5970895963380616,0.5970895963517839,1.6037760628128805,0.4238835838594186,1.4853466016623134,0.5970895963439675,0.5970895963490273,0.5970895963379967,0.5970895963421801,1.379253542735633,0.5970895963379117,0.5970895963377869,0.5086603014440865,0.5970895963391948,0.07417962710651138,0.5970895963377426,0.3814952251688903,0.5970895963506461,1.699999999991273,0.5970895963390341,0.597089596337018
1.8,feasible,139645.42323475273,1.7999999999887044,0.5660145751651995,1.7999999999906917,0.5660145751028457,0.8981112375221206,1.7087106236861238,0.5660145749993434,0.5660145746542354,0.5660145750986901,0.5660145668342819,1.7999999999839849,1.799999999986942,0.5660145750576184,0.5660145753711133,0.5660145753775909,1.7999999999291896,0.5660145751068533,0.042264058369256355,0.5660145746794916,1.1165633179677714,0.5660145751803962,0.5660145668342819,0.5660145750203145,0.5660145736695903,0.5660145750333441,1.6905622615554177,0.5660145739505117,0.5660145753735725,0.5660145751230445,0.2007542771106119,0.5660145750001495,0.5660145746305811,0.5660145753751588,0.5660145745902028,0.5660145751963406,1.7037760628102638,0.42264058300175433,1.5853466016375781,0.566014575379054,0.5660145753961381,0.5660145744924658,0.5660145751133348,1.4792535427358602,0.5660145749490152,0.5660145744009196,0.5071687004124058,0.5660145750709515,0.07396210196544796,0.5660145747185559,0.38037652439767544,0.5660145752443859,1.7999999999916452,0.5660145749618211,0.5660145746089146
1.9,feasible,138523.8218338547,1.8999999998898003,0.5349402558833944,1.899999999898879,0.5349402557135375,0.8954699203191867,1.8087106234964268,0.5349402553778131,0.5349402550854508,0.5349402556191893,0.5349401502179822,1.899999999844111,1.8999999998773631,0.5349402555381725,0.5349402555387225,0.5349402557297135,1.8999999994866539,0.5349402556134235,0.042139761170821154,0.5349402551206688,1.2165633177019124,0.534940255890889,0.5349401502179822,0.5349402554171582,0.5349402543401577,0.5349402554699783,1.6855904393827121,0.5349402547258105,0.5349402556171281,0.5349402557040599,0.20016386507655218,0.5349402554315273,0.5349402394506456,0.5349402564453805,0.5349402550631815,0.5349402559280791,1.8037760627060027,0.42139761022610245,1.6853466013166192,0.5349402562202809,0.5349402562601914,0.5349402550007588,0.5349402556766698,1.5792535426485514,0.5349402553198699,0.5349402549392308,0.505677133077643,0.5349402472090253,0.07374458177930585,0.5349402551489586,0.37925784890384096,0.5349402560200818,1.8999999999063983,0.5349402439971613,0.5349402550564714
2.0,feasible,137481.18305831373,1.999999999913634,0.5038659243945859,1.9999999999210536,0.503865923195647,0.8928286021780607,1.9087106235219324,0.5038659213039484,0.5038659196958565,0.5038659218664926,0.5038659332810329,1.9999999998746405,1.999999999903127,0.5038659222062181,0.5038659308569027,0.5038659308342448,1.9999999966755624,0.5038659224695292,0.042015466555744216,0.5038659199250385,1.316563316806829,0.5038659238589231,0.5038659332810329,0.5038659215453041,0.5038659155732471,0.5038659215751558,1.6806185462589514,0.5038659178859426,0.5038659308480068,0.5038659227594007,0.1995734527808055,0.5038659213113149,0.5038659327834358,0.5038659300697087,0.5038659196142543,0.503865923917883,1.9037760627309026,0.42015463698872624,1.7853466001890699,0.5038659304025213,0.5038659263891535,0.5038659193357218,0.5038659226547219,1.6792535426694764,0.5038659209790668,0.5038659190583893,0.5041855651779287,0.5038659323801795,0.07352706173823284,0.503865920117121,0.3781391729940267,0.5038659244939578,1.9999999999272733,0.5038659326936571,0.5038659195451546
2.1,feasible,136517.50696615188,2.099999999902891,0.4727916043110462,2.0999999999290857,0.472791603324974,0.8901872847838631,2.0087106233747054,0.4727916003788053,0.4727915987205534,0.4727916022575282,0.47279161006389353,2.0999999997570558,2.099999999841073,0.4727916015305808,0.47279160804847903,0.47279160809358467,2.0999999085131043,0.47279160223010935,0.04189117508500691,0.4727915989101893,1.4165633024712736,0.4727916039649958,0.47279161006389353,0.47279160071986814,0.4727915965665619,0.47279160065798603,1.6756466551223879,0.4727915981306125,0.47279160806618825,0.47279160265478676,0.19898304074778858,0.4727916002614741,0.47279160994377517,0.4727916076854517,0.47279159871268556,0.4727916040589217,2.0037760626592758,0.41891166413499004,1.885346589757659,0.4727916079999675,0.47279160582852237,0.4727915985783423,0.4727916024578624,1.7792535426799794,0.4727915999500161,0.47279159845390306,0.502693997720416,0.4727916097884658,0.0733095419454956,0.47279159908205487,0.377020497435824,0.4727916043951739,2.0999999999413923,0.4727916100071292,0.47279159863636167
2.2,feasible,135632.79371071263,2.199999999821457,0.4417173597247176,2.199999999840437,0.4417173592762289,0.8875459738992366,2.1087106231594346,0.4417173571804875,0.4417173566157734,0.44171735819611696,0.44171734230760173,2.1999999996983113,2.199999999792785,0.44171735754619745,0.44171734654564176,0.4417173472429914,2.1999982028462113,0.4417173577740462,0.04176687831021852,0.44171735668345247,1.5165626059068165,0.4417173594770801,0.44171734230760173,0.44171735736492573,0.44171735512448596,0.44171735719239846,1.6706747767141978,0.4417173564209434,0.44171734682102126,0.44171735856278954,0.198392630030528,0.44171735700443365,0.4417173443308622,0.4417173521186655,0.4417173566298561,0.44171735960349084,2.1037760626266513,0.41766869427246756,1.9853463105044276,0.44171734972348076,0.44171736101633063,0.44171735658341305,0.4417173584063873,1.8792535425927674,0.4417173570192201,0.4417173565271631,0.5012024339199435,0.4417173457256434,0.07309202211907896,0.4417173567452577,0.3759018245531961,0.4417173598772738,2.199999999855033,0.44171734532139406,0.4417173565867848
2.3,feasible,134826.99526822142,2.2999999998757366,0.41100246037613025,2.299999999889446,0.41100246031975285,0.884935207757341,2.208710623304126,0.4110024602441258,0.4110024602353975,0.41100246035746424,0.41100246026322035,2.299999999786597,2.2999999998545735,0.41100246033769927,0.4110024602831567,0.41100246027902065,2.290413884411518,0.4110024603542811,0.041644009899856976,0.4110024602475088,1.6134231984939489,0.41100246038683136,0.41100246026322035,0.4110024602428365,0.4110024602653032,0.41100246030650744,1.6657603934706786,0.41100246032167126,0.4110024602815143,0.41100246028363124,0.19780904696610366,0.4110024603259885,0.4110024602690215,0.4110024602881519,0.41100246024782355,0.41100246037246163,2.2037760626858223,0.4164400984275712,2.085346598159871,0.41100246029460535,0.41100246033709403,0.41100246024681086,0.41100246028375775,1.9792535426392857,0.4110024602467735,0.41100246024431375,0.499728118903497,0.4110024602661821,0.07287701720407139,0.41100246024390863,0.37479608829137,0.4110024603626487,2.2999999999005447,0.41100246026484977,0.4110024602367417
2.4,feasible,134084.5743661144,2.39999999999846,0.38768858000281875,2.3999999999986414,0.38768858000193984,0.882953527975292,2.3087106236980737,0.3876885800010192,0.38768858000101275,0.3876885800024761,0.3876885850008706,2.399999999997195,2.3999999999981734,0.38768858000229756,0.3876885799943868,0.3876885799933638,2.2852914852448096,0.38768858000263895,0.041550754320701704,0.38768858000118356,1.6100917306660871,0.3876885800029238,0.3876885850008706,0.38768858000096673,0.3876885800009547,0.3876885800019017,1.6620301727985765,0.38768858000238776,0.3876885799940379,0.3876885800014484,0.19736608319818613,0.3876885800022449,0.38768858757853736,0.38768858000217354,0.3876885800011752,0.3876885800027387,2.303776062821617,0.415507543200324,2.119088471853077,0.3876885799944879,0.38768858000223305,0.38768858000115947,0.38768858000146084,2.079253542743169,0.3876885800010734,0.38768858000112283,0.4986090526380188,0.38768857999089423,0.07271381998795003,0.38768858000110556,0.3739567885812158,0.38768858000266193,2.3999999999987867,0.38768858170892473,0.3876885800010255
2.5,feasible,133386.76215793702,2.499999999970721,0.36545275272825894,2.499999999974468,0.3654527527154329,0.8810634826468705,2.4087106235427345,0.36545275270151356,0.3654527526991254,0.36545275272698996,0.3654527553842424,2.499999999942197,2.4999999999646447,0.3654527527229209,0.3654527556468304,0.3654527534650738,2.2803996031430698,0.365452752729281,0.04146181102318959,0.36545275270205607,1.6066451773570989,0.3654527527307256,0.3654527553842424,0.3654527527010573,0.3654527526987714,0.36545275271483557,1.6584724403986417,0.36545275271990685,0.36545275465657384,0.365452752709001,0.19694360248724216,0.36545275271953476,0.3654530815453404,0.36545275269314464,0.36545275270182426,0.3654527527266288,2.4037760627901386,0.4146181101108661,2.1145523632133365,0.3654527524820395,0.36545275271896627,0.3654527527014971,0.36545275270932587,2.1792535427201165,0.365452752701821,0.3654527527008466,0.49754173292662124,0.3654527572773767,0.07255816920790661,0.3654527527013366,0.37315629880278,0.3654527527229433,2.4999999999773834,0.3654530842724165,0.3654527526993072
2.6,feasible,132732.83548804774,2.5999999999559846,0.3432169310184336,2.5999999999621792,0.34321693068496834,0.879173437773235,2.5087106157552843,0.34321693004338966,0.34321693021477884,0.34321693001806447,0.3432169337193578,2.599999999905094,2.5999999999457484,0.3432169300848135,0.34321707899036846,0.34321696946111724,2.2755077222162834,0.34321693004938036,0.04137286781323291,0.3432169301600076,1.6031986248960346,0.3432169303392833,0.3432169337193578,0.34321693002643205,0.34321693058899355,0.3432169300989143,1.6549147088686658,0.34321693040044987,0.34321702612142296,0.3432169300072037,0.19652112187167006,0.34321693016148047,0.3432174154583682,0.34321693112939,0.3432169302068419,0.3432169304883192,2.5037760627725576,0.41372867723398604,2.110016255444605,0.3432169357131901,0.34321693004404213,0.34321693023405997,0.34321693001112685,2.279253542708345,0.343216930065309,0.3432169302634168,0.49647441346927196,0.3432170976082105,0.07240251847024662,0.3432169301143703,0.3723558092151825,0.343216930855801,2.599999999966474,0.3432170396947873,0.3432169302440112
2.7,feasible,132122.77077491488,2.69999999996505,0.3211983509355768,2.699999999970345,0.32119835092389093,0.8773018584915012,2.6008961036642773,0.32119835090687726,0.3211983509053732,0.3211983509305858,0.3211983509111213,2.6999999999123165,2.699999999955786,0.32119835092701704,0.32119835091448107,0.3211983509131206,2.2706636348103775,0.3211983509298123,0.04128479341670126,0.3211983509079475,1.5997857451129531,0.3211983509381523,0.3211983509111213,0.321198350906658,0.3211983509119162,0.3211983509210837,1.6513917360970356,0.32119835092258164,0.3211983509140182,0.3211983509157606,0.19610276885118622,0.3211983509250418,0.321198350913885,0.321198350915108,0.32119835090807297,0.3211983509352246,2.6037760627822872,0.412847934034986,2.1055244653247382,0.3211983509163236,0.3211983509268622,0.3211983509077995,0.3211983509158059,2.379253542716145,0.32119835090776383,0.3211983509071701,0.4954175216325344,0.3211983509125733,0.07224838839594062,0.321198350906972,0.37156314033575777,0.32119835093315063,2.699999999974285,0.32119835091137433,0.32119835090567334
2.8,feasible,131551.570571432,2.799999999971415,0.3018760537648852,2.799999999976138,0.3018760536456726,0.8756594632145345,2.59607275855253,0.3018760530186264,0.30187605309878895,0.3018760530924958,0.30187605298893566,2.799999999912474,2.7999999999619822,0.30187605306183524,0.30187619274815064,0.30187623783537393,2.266412729396359,0.30187605306191445,0.04120750426568084,0.3018760530700256,1.5967907890298958,0.30187605328297046,0.30187605298893566,0.30187605301409703,0.3018760534897172,0.3018760530572797,1.6483001685181276,0.3018760531857342,0.30187623421360005,0.30187605303255016,0.19573564519725845,0.30187605308651705,0.30187632541384035,0.3018760538332653,0.30187605309128224,0.3018760533576403,2.7037760627883003,0.41207504213901974,2.101582716666891,0.301876106198762,0.3018760530909171,0.30187605310350696,0.3018760530317465,2.479253542721716,0.3018760530257948,0.3018760531186681,0.49449005135470053,0.30187620842016805,0.07211313231491369,0.30187605304333104,0.37086753762969027,0.3018760535611869,2.7999999999794967,0.30187607109274694,0.3018760531152108
2.9,feasible,131015.46675753352,2.899999999995211,0.2825550688313663,2.899999999996079,0.2825550688220763,0.8740171795385089,2.59120387607902,0.28255506876437275,0.28255506876566855,0.28255506879197034,0.28255506879700504,2.899999999982439,2.899999999993473,0.28255506877854786,0.28255514550896427,0.2825550859947951,2.262162112869461,0.28255506878343273,0.04113022027917821,0.28255506876533426,1.5937960364609847,0.28255506880754694,0.28255506879700504,0.28255506876521685,0.28255506877803876,0.2825550687706123,1.645208811010614,0.2825550687807731,0.28255511880764134,0.28255506877450326,0.19536854648490845,0.2825550687734455,0.28255507489153225,0.2825550688369365,0.28255506876628655,0.28255506880897324,2.8037760628173727,0.4113022027545141,2.0976412358787635,0.2825550694579443,0.2825550687928844,0.28255506876682607,0.2825550687737481,2.579253542740716,0.2825550687640633,0.28255506876733144,0.4935626440942495,0.28255506987091095,0.07197788541133923,0.2825550687638962,0.3701719821831621,0.2825550688163752,2.89999999999668,0.28255514082559596,0.28255506876645137
3.0,feasible,130514.45989417916,2.999999998773889,0.26323405159168234,2.99999999901386,0.26323405210650025,0.8723748914926497,2.586334972504381,0.2632340436050137,0.2632340427656603,0.26323404713249915,0.26323404233655573,2.9999999930277528,2.9999999982952907,0.26323404464157313,0.26323430005271475,0.2632342634448079,2.257911484030125,0.26323404459986366,0.041052936813590256,0.26323404288902363,1.5908012754048075,0.26323404974106823,0.26323404233655573,0.26323404395439687,0.2632340437597985,0.2632340436948905,1.6421174449545386,0.2632340430961491,0.26323433259740336,0.26323404537727313,0.19500144713573406,0.2632340434320552,0.26323404748843654,0.26323405170463005,0.2632340428386285,0.26323405006580153,2.9037760612749293,0.41052936154335057,2.0936997437589033,0.263234047972845,0.2632340483429206,0.2632340428189582,0.2632340451820682,2.679253541799481,0.2632340434161037,0.263234042796016,0.49263523458162267,0.26323404256179594,0.071842638581712,0.26323404304850834,0.3694764251369018,0.2632340508026976,2.999999999174625,0.2632342453058238,0.2632340427665976
3.5,feasible,128505.98570450443,3.499999999628999,0.17504844960658159,3.499999999741246,0.17504845782712306,0.864879115924106,2.564112205028806,0.17504844160941616,0.17504844004437198,0.17504844930326438,0.1750484527387568,3.194965203897166,3.4999999993273034,0.17504844311060044,0.1750484412356348,0.17504844120776653,2.2385106539545436,0.17504844244251724,0.040700194058085996,0.17504843994470284,1.5771325086035268,0.17504845995042437,0.1750484527387568,0.1750484422763651,0.17504844866728106,0.1750484412051522,1.6280077499990429,0.17504844028047137,0.1750484412247135,0.1750484441255656,0.19332592056062275,0.17504844043340723,0.1750484391867871,0.17504847256932926,0.17504843990283644,0.1750484613276756,3.403776062264306,0.40700193756153275,2.07570988305623,0.1750484456404078,0.175048455139402,0.17504843995617478,0.17504844383240187,3.179253542494198,0.17504844124348068,0.1750484400986596,0.48840232584264104,0.17504843985886342,0.07122533910374676,0.17504844042984968,0.36630174352138045,0.17504846380759398,3.4999999998017213,0.17504843805896958,0.17504844026237704
