epsilon,status,objective,pg_bus_7062,pg_bus_146,pg_bus_10,pg_bus_92,pg_bus_156,pg_bus_176,pg_bus_7061,pg_bus_190,pg_bus_7003,pg_bus_242,pg_bus_7017,pg_bus_221,pg_bus_125,pg_bus_171,pg_bus_20,pg_bus_138,pg_bus_8,pg_bus_153,pg_bus_63,pg_bus_233,pg_bus_241,pg_bus_143,pg_bus_149,pg_bus_7166,pg_bus_185,pg_bus_9002,pg_bus_141,pg_bus_147,pg_bus_198,pg_bus_119,pg_bus_236,pg_bus_220,pg_bus_7001,pg_bus_7024,pg_bus_7049,pg_bus_243,pg_bus_7023,pg_bus_9054,pg_bus_222,pg_bus_152,pg_bus_7130,pg_bus_186,pg_bus_124,pg_bus_187,pg_bus_7011,pg_bus_9053,pg_bus_9051,pg_bus_7002,pg_bus_91,pg_bus_191,pg_bus_227,pg_bus_170,pg_bus_177,pg_bus_9055,pg_bus_84,pg_bus_7057,pg_bus_108,pg_bus_76,pg_bus_230,pg_bus_238,pg_bus_98,pg_bus_7039,pg_bus_7044,pg_bus_7055,pg_bus_7012,pg_bus_239,pg_bus_7071,pg_bus_7139,pg_bus_213
1.1,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.2,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.3,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.4,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.7,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.8,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.9,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.1,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.2,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.3,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.4,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.6,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.7,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.8,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.9,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.5,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,feasible,760745.5355817135,0.9999999999856544,5.9999998256785325,5.499999999981216,0.627014115548997,4.999999999974224,5.749999999981309,5.239999999976407,4.749999999965084,0.9999999999867718,1.4234915047126302,5.999999999988041,0.9999999999631703,0.9999999999878261,5.999999999968384,5.9999999999923,5.99999999999561,2.6499998604231756,2.849999992178071,3.399999999911016,5.852456629656738,3.0499999997761167,3.4999999999316223,5.999999999989731,5.999999999996018,3.499999999928198,0.8473163715156455,0.13557061944546214,3.9999999999596803,2.5499994950358564,3.2799999998812854,0.9999999999867718,1.6946327430247967,4.71999999997121,4.999999999969985,0.9999999999877905,1.9827203085968927,3.1699999998692756,1.423491504711624,2.9999999997475038,5.999999999988356,5.779178400574637,4.719999999972631,1.7454717260472878,3.339999999874908,2.699999973113952,1.152350261571634,4.793499864622939,1.9657739807773575,5.852456629656776,5.669999999978232,0.7625847351269261,3.1599999998574377,4.449999999971424,0.9999999999869833,3.8999999998747903,1.4234915047120709,4.029999999960666,0.9999999999869922,5.099999999974866,0.9999999999870928,5.99999999999034,0.9999999999865744,0.9999999999877868,4.299999999938521,3.719999999944327,5.999999999991035,5.999999999995424,3.8099999999488703,0.9999999999867718
7.0,feasible,744093.5586530119,0.9999999996974387,3.0444182997666447,5.499999999243646,0.4826434775856078,4.99999999884843,5.74999999933976,5.239999999092349,4.749999998268989,0.9999999996974445,1.0957311375711207,6.529999999499517,0.9999999996974406,0.9999999996974486,5.999999999407613,6.999999999796834,6.999999999918898,2.152329019464011,2.4132173831409944,3.130660388908704,6.852456629578117,2.6741057513786872,3.2611045742687836,6.75429999952655,6.999999999934321,3.2611045742688156,0.6522209149879619,0.10435534643866926,3.913325491661571,2.021884837296267,2.974127373374042,0.9999999996974445,1.3044418299060008,4.719999998153716,4.999999998847979,0.9999999996974476,1.5261969404417304,2.830638771154222,1.0957311375616452,2.608883659646877,6.499999999495483,6.779178400394574,4.719999998076955,1.3435750853576527,3.052393884130771,2.217551111181737,0.8870204415208975,5.793499864569904,1.513152521829525,6.852456629578117,5.669999999314452,0.5869988240798123,2.817594352132002,4.449999963452117,0.9999999996974454,3.7828813076237036,1.0957311375656626,3.952458745966652,0.9999999996974464,5.099999998968278,0.9999999996974466,6.9999999996579625,0.9999999996974458,0.9999999996974471,4.299566958846971,3.548081774819682,6.99999999955101,6.999999999914795,3.665481542257418,0.9999999996974445
8.0,feasible,734557.5972028354,0.9999999999881081,2.0418884555689942,5.418849808648902,0.44554987330181695,4.816755382197981,5.719895659907877,5.105760696542032,4.515708165171793,0.9999999999881133,1.0115186306714452,6.52999999523005,0.9999999999881135,0.9999999999881161,5.999989094343252,7.999999999941032,7.999999999997891,1.9869115953639225,2.2277493623823994,2.8900532270183037,7.852456629660209,2.468587133633454,3.0104721138848434,6.7542999985472,7.999999999998438,3.010472113884842,0.6020944227783991,0.09633510764541414,3.61256654027219,1.8664927115432806,2.745550569290399,0.9999999999881133,1.2041888455555192,4.4795825104675675,4.816755382197966,0.9999999999881122,1.408900948806572,2.613089795348783,1.0115186306712254,2.40837769110918,6.499999991839216,7.779178400567401,4.47958251046782,1.240314511442873,2.817801900907201,2.0471210378524733,0.8188484123578252,6.793499864629661,1.396859060061917,7.852456629660209,5.623561915346486,0.5418849810425265,2.6010479061893172,4.15445152380213,0.9999999999881142,3.4921476541997993,1.011518630671291,3.6486922053463644,0.9999999999881145,4.937174267243576,0.9999999999881147,7.229999999914725,0.9999999999881147,0.9999999999881071,3.973823190720951,3.275393658333679,6.999999999420551,7.999999999997727,3.383770657155928,0.9999999999881133
9.0,feasible,727529.9887852842,0.9999999804622394,1.5428086131126093,5.194263880661088,0.4270839191145682,4.617123444910829,5.4828340852439865,4.8941508433620635,4.328553224210465,0.9999999894906363,0.9695959238642992,6.383173169400981,0.999999989013485,0.9999999969282083,5.771404305986409,7.999969382567729,8.99999999993958,1.9045634212735223,2.1354195915175036,2.770274064805089,8.852456629594677,2.366275765817736,2.8857021531321982,6.642078153477537,8.999999999961839,2.8857021531321427,0.5771404306516535,0.09234246892351561,3.462842587201728,1.7891353358557835,2.6317603650162136,0.9999999894906363,1.154280861276609,4.293924808596287,4.617123444910268,0.9999999869957303,1.3505086072163013,2.5047894693935664,0.9695959238600724,2.308561722523126,6.3485447220759745,7.959977575124274,4.2939248086022985,1.1889092876096239,2.701017217551143,1.962277464539883,0.7849109831642662,7.793499864596939,1.3389657983268533,8.852456629594633,5.390491629708533,0.5194263881077114,2.4932466601173773,3.9822689776461213,0.9999999926719323,3.3474144996221558,0.9695959238611725,3.4974710127576714,0.9999999924317923,4.732551531513011,0.9999999949855487,7.19113730278591,0.9999999947167881,0.9999999805301528,3.8091268424790954,3.1396439410921246,6.925679542557349,8.999999999931147,3.2435292212120688,0.9999999894895883
